time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,0,0,15,5
2024-03-26 00:00:00+00:00,0,0,9,5
2024-03-27 00:00:00+00:00,2,2,31,10
2024-03-28 00:00:00+00:00,1,1,32,3
2024-03-29 00:00:00+00:00,1,1,15,2
2024-03-30 00:00:00+00:00,0,0,39,4
2024-03-31 00:00:00+00:00,0,0,34,5
2024-04-01 00:00:00+00:00,0,0,4,3
2024-04-02 00:00:00+00:00,1,1,13,10
2024-04-03 00:00:00+00:00,1,1,13,5
2024-04-04 00:00:00+00:00,0,0,11,3
2024-04-05 00:00:00+00:00,0,0,17,5
2024-04-06 00:00:00+00:00,1,1,13,3
2024-04-07 00:00:00+00:00,0,0,27,4
2024-04-08 00:00:00+00:00,0,0,29,3
2024-04-09 00:00:00+00:00,1,1,5,5
2024-04-10 00:00:00+00:00,1,1,12,7
2024-04-11 00:00:00+00:00,7,3,43,11
2024-04-12 00:00:00+00:00,0,0,16,12
2024-04-13 00:00:00+00:00,0,0,6,6
2024-04-14 00:00:00+00:00,1,1,28,8
2024-04-15 00:00:00+00:00,1,1,66,16
2024-04-16 00:00:00+00:00,4,3,54,12
2024-04-17 00:00:00+00:00,0,0,98,14
2024-04-18 00:00:00+00:00,0,0,44,5
2024-04-19 00:00:00+00:00,0,0,12,10
2024-04-20 00:00:00+00:00,0,0,7,5
2024-04-21 00:00:00+00:00,0,0,75,7
2024-04-22 00:00:00+00:00,1,1,61,5
2024-04-23 00:00:00+00:00,0,0,4,3
2024-04-24 00:00:00+00:00,1,1,6,5
2024-04-25 00:00:00+00:00,0,0,4,4
2024-04-26 00:00:00+00:00,0,0,20,9
2024-04-27 00:00:00+00:00,0,0,20,8
2024-04-28 00:00:00+00:00,0,0,145,6
2024-04-29 00:00:00+00:00,0,0,15,6
2024-04-30 00:00:00+00:00,0,0,5,4
2024-05-01 00:00:00+00:00,1,1,7,6
2024-05-02 00:00:00+00:00,0,0,15,10
2024-05-03 00:00:00+00:00,0,0,69,11
2024-05-04 00:00:00+00:00,1,1,159,9
2024-05-05 00:00:00+00:00,0,0,43,7
2024-05-06 00:00:00+00:00,1,1,75,7
2024-05-07 00:00:00+00:00,5,3,98,11
2024-05-08 00:00:00+00:00,2,2,136,8
2024-05-09 00:00:00+00:00,0,0,6,5
2024-05-10 00:00:00+00:00,0,0,55,5
2024-05-11 00:00:00+00:00,0,0,49,7
2024-05-12 00:00:00+00:00,2,2,23,3
2024-05-13 00:00:00+00:00,0,0,13,9
2024-05-14 00:00:00+00:00,0,0,9,6
2024-05-15 00:00:00+00:00,1,1,25,5
2024-05-16 00:00:00+00:00,0,0,18,12
2024-05-17 00:00:00+00:00,1,1,4,2
2024-05-18 00:00:00+00:00,2,2,8,6
2024-05-19 00:00:00+00:00,0,0,5,4
2024-05-20 00:00:00+00:00,0,0,28,3
2024-05-21 00:00:00+00:00,0,0,18,8
2024-05-22 00:00:00+00:00,0,0,12,9
2024-05-23 00:00:00+00:00,0,0,19,4
2024-05-24 00:00:00+00:00,1,1,97,8
2024-05-25 00:00:00+00:00,0,0,11,5
2024-05-26 00:00:00+00:00,0,0,8,5
2024-05-27 00:00:00+00:00,0,0,10,7
2024-05-28 00:00:00+00:00,0,0,57,10
2024-05-29 00:00:00+00:00,0,0,30,6
2024-05-30 00:00:00+00:00,1,1,175,11
2024-05-31 00:00:00+00:00,1,1,4,3
