time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-24 00:00:00+00:00,0,0,4,1
2024-03-25 00:00:00+00:00,2,2,258,68
2024-03-26 00:00:00+00:00,2,2,184,66
2024-03-27 00:00:00+00:00,5,5,145,44
2024-03-28 00:00:00+00:00,4,4,136,48
2024-03-29 00:00:00+00:00,2,2,318,51
2024-03-30 00:00:00+00:00,2,2,166,49
2024-03-31 00:00:00+00:00,2,2,196,53
2024-04-01 00:00:00+00:00,2,2,255,64
2024-04-02 00:00:00+00:00,1,1,257,51
2024-04-03 00:00:00+00:00,4,4,196,55
2024-04-04 00:00:00+00:00,6,4,162,46
2024-04-05 00:00:00+00:00,5,2,385,57
2024-04-06 00:00:00+00:00,15,8,223,37
2024-04-07 00:00:00+00:00,5,4,273,46
2024-04-08 00:00:00+00:00,3,3,297,49
2024-04-09 00:00:00+00:00,5,3,328,61
2024-04-10 00:00:00+00:00,8,7,138,45
2024-04-11 00:00:00+00:00,6,6,249,59
2024-04-12 00:00:00+00:00,17,9,202,44
2024-04-13 00:00:00+00:00,3,3,139,42
2024-04-14 00:00:00+00:00,4,3,174,36
2024-04-15 00:00:00+00:00,4,3,238,59
2024-04-16 00:00:00+00:00,13,7,336,58
2024-04-17 00:00:00+00:00,9,5,367,60
2024-04-18 00:00:00+00:00,1,1,308,54
2024-04-19 00:00:00+00:00,3,3,104,35
2024-04-20 00:00:00+00:00,1,1,289,41
2024-04-21 00:00:00+00:00,2,2,228,44
2024-04-22 00:00:00+00:00,12,5,250,48
2024-04-23 00:00:00+00:00,3,2,197,49
2024-04-24 00:00:00+00:00,23,5,441,49
2024-04-25 00:00:00+00:00,12,6,131,39
2024-04-26 00:00:00+00:00,8,6,179,54
2024-04-27 00:00:00+00:00,1,1,196,38
2024-04-28 00:00:00+00:00,10,4,419,148
2024-04-29 00:00:00+00:00,2,2,248,75
2024-04-30 00:00:00+00:00,7,4,192,73
2024-05-01 00:00:00+00:00,10,4,361,61
2024-05-02 00:00:00+00:00,15,7,218,65
2024-05-03 00:00:00+00:00,13,7,257,45
2024-05-04 00:00:00+00:00,13,6,288,51
2024-05-05 00:00:00+00:00,16,9,289,41
2024-05-06 00:00:00+00:00,15,8,241,64
2024-05-07 00:00:00+00:00,4,2,177,44
2024-05-08 00:00:00+00:00,8,4,163,39
