time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-24 00:00:00+00:00,1,1,0,0
2024-03-25 00:00:00+00:00,19,10,63,3
2024-03-26 00:00:00+00:00,14,10,0,0
2024-03-27 00:00:00+00:00,12,10,0,0
2024-03-28 00:00:00+00:00,7,6,159,4
2024-03-29 00:00:00+00:00,19,9,104,3
2024-03-30 00:00:00+00:00,14,12,56,3
2024-03-31 00:00:00+00:00,14,8,57,4
2024-04-01 00:00:00+00:00,12,9,137,3
2024-04-02 00:00:00+00:00,11,9,48,4
2024-04-03 00:00:00+00:00,19,12,13,3
2024-04-04 00:00:00+00:00,13,9,74,2
2024-04-05 00:00:00+00:00,6,5,84,3
2024-04-06 00:00:00+00:00,34,22,58,1
2024-04-07 00:00:00+00:00,9,9,137,6
2024-04-08 00:00:00+00:00,16,9,33,3
2024-04-09 00:00:00+00:00,12,9,59,1
2024-04-10 00:00:00+00:00,5,5,0,0
2024-04-11 00:00:00+00:00,22,18,340,9
2024-04-12 00:00:00+00:00,16,12,5,2
2024-04-13 00:00:00+00:00,10,7,41,5
2024-04-14 00:00:00+00:00,3,3,0,0
2024-04-15 00:00:00+00:00,11,7,200,5
2024-04-16 00:00:00+00:00,14,11,125,3
2024-04-17 00:00:00+00:00,18,10,157,3
2024-04-18 00:00:00+00:00,20,12,33,2
2024-04-19 00:00:00+00:00,13,8,15,3
2024-04-20 00:00:00+00:00,10,6,28,3
2024-04-21 00:00:00+00:00,10,6,4,2
2024-04-22 00:00:00+00:00,10,9,2,1
2024-04-23 00:00:00+00:00,3,3,9,2
2024-04-24 00:00:00+00:00,17,14,4,1
2024-04-25 00:00:00+00:00,11,7,39,2
2024-04-26 00:00:00+00:00,14,12,58,5
2024-04-27 00:00:00+00:00,20,12,44,3
2024-04-28 00:00:00+00:00,11,6,147,3
2024-04-29 00:00:00+00:00,19,10,154,5
2024-04-30 00:00:00+00:00,26,16,90,3
2024-05-01 00:00:00+00:00,13,7,59,5
2024-05-02 00:00:00+00:00,11,7,27,6
2024-05-03 00:00:00+00:00,11,4,1,1
2024-05-04 00:00:00+00:00,7,6,3,1
2024-05-05 00:00:00+00:00,12,9,60,3
2024-05-06 00:00:00+00:00,21,15,0,0
2024-05-07 00:00:00+00:00,24,10,39,3
2024-05-08 00:00:00+00:00,19,12,28,2
2024-05-09 00:00:00+00:00,7,7,56,4
2024-05-10 00:00:00+00:00,14,9,20,4
2024-05-11 00:00:00+00:00,17,12,18,2
2024-05-12 00:00:00+00:00,3,2,111,3
2024-05-13 00:00:00+00:00,17,13,22,4
2024-05-14 00:00:00+00:00,25,7,152,3
2024-05-15 00:00:00+00:00,7,7,0,0
2024-05-16 00:00:00+00:00,20,9,56,2
2024-05-17 00:00:00+00:00,16,9,23,2
2024-05-18 00:00:00+00:00,16,9,1,1
2024-05-19 00:00:00+00:00,13,8,0,0
2024-05-20 00:00:00+00:00,33,18,18,1
2024-05-21 00:00:00+00:00,10,8,0,0
2024-05-22 00:00:00+00:00,12,4,1,1
